     ¹               x                    y
   266            26.5              273.396
   267            26.6              276.466
   268            26.7               279.54
   269            26.8              282.617
   270            26.9              285.697
   271              27              288.781
   272            27.1              291.869
   273            27.2               294.96
   274            27.3              298.054
   275            27.4              301.151
   276            27.5              304.251
   277            27.6              307.354
   278            27.7               310.46
   279            27.8              313.568
   280            27.9               316.68
   281              28              319.793
   282            28.1               322.91
   283            28.2              326.029
   284            28.3               329.15
   285            28.4              332.274
   286            28.5              335.399
   287            28.6              338.527
   288            28.7              341.657
   289            28.8              344.789
   290            28.9              347.922
   291              29              351.058
   292            29.1              354.195
   293            29.2              357.334
   294            29.3              360.475
   295            29.4              363.617
   296            29.5               366.76
   297            29.6              369.905
   298            29.7              373.051
   299            29.8              376.198
   300            29.9              379.347
   301              30              382.496
